,price,funding,cost,traded,hours_held,long_pnl,short_pnl,total,t24_med
STARUSDT,19.11528989351848,0.5387592817801478,0.3107375342358466,463.78736453111424,36.0,0.0,19.11528989351848,19.34331164106278,2609224.9345703125
FLUIDUSDT,20.431283220456518,-0.0869745364429346,0.44689359719871063,667.0053689532995,24.0,0.0,20.431283220456518,19.897415086814874,1278614.3271484375
BSWUSDT,23.158728004324118,-2.016150196775623,0.8693894714324089,1297.5962260185206,120.0,0.0,23.158728004324118,20.273188336116085,6013723.87890625
NBISUSDT,21.198544322081588,-0.3584154321186316,0.46458040748422685,693.4035932600401,60.0,18.551604307690223,2.6469400143913693,20.375548482478727,35366344.6015625
PROVEUSDT,22.75617020408127,-1.9107684728938734,0.45463835096109223,678.5647029270033,84.0,0.0,22.75617020408127,20.390763380226304,3100681.3369140625
MSFTUSDT,21.726264704355867,-0.032556305660968524,1.1404649062300976,1702.1864272091002,228.0,20.616519460113633,1.109745244242227,20.5532434924648,9039246.0
DOODUSDT,20.246641697339747,0.9070775826413245,0.5464922724585872,815.660108147145,216.0,20.246641697339747,0.0,20.607227007522486,2442531.1396484375
BABYUSDT,22.093367260515635,0.03410375618498002,0.6666102361993796,994.9406510438503,132.0,0.0,22.093367260515635,21.460860780501235,5977263.578125
VANAUSDT,24.470880125879965,-2.069471874122436,0.9313906276353132,1390.1352651273332,468.0,-11.55304262753436,36.0239227534143,21.470017624122217,5500166.17578125
NOMUSDT,23.590024712794026,-1.539144159845823,0.5102465883473701,761.5620721602537,96.0,0.0,23.590024712794026,21.540633964600833,4423553.1953125
LPTUSDT,0.7735307452882403,36.00451383445181,13.751157077144521,20524.1150405142,5184.0,-65.75010039299596,66.52363113828434,23.026887502595528,13729811.625
SQDUSDT,23.640349277503677,0.630824860941148,1.0413439585304827,1554.2447142246012,240.0,26.53714048593565,-2.896791208431974,23.22983017991434,3007677.7421875
CUDISUSDT,23.61210687180571,0.06336219282188935,0.2883041130789491,430.3046463864912,36.0,0.0,23.61210687180571,23.387164951548648,3823069.6657714844
STBLUSDT,23.984137926274084,0.060831411261847775,0.2560473610184576,382.16024032605617,72.0,0.0,23.984137926274084,23.788921976517475,2632093.71484375
IRYSUSDT,23.824791347801174,1.027611968430729,1.0240517462374235,1528.4354421454084,192.0,14.796992296214517,9.027799051586655,23.82835156999448,3416455.01953125
SSVUSDT,28.606316481961194,-0.759103972897806,3.8247030396974235,5708.511999548396,2364.0,5.026691248038431,23.57962523392274,24.022509469365964,13316328.28125
BTCDOMUSDT,30.50094912113203,2.9959139298123794,9.442404275776461,14093.140710114107,3672.0,-14.516614626773197,45.0175637479053,24.05445877516795,6208469.083984375
MEMEFIUSDT,25.354097215650214,-0.26746994463065,0.346130806695339,516.6131443214015,36.0,0.0,25.354097215650214,24.740496464324224,5410416.28515625
ZEREBROUSDT,29.97789013314318,-0.7888587429247266,4.199500997441451,6267.911936479776,840.0,1.7256438739693518,28.252246259173827,24.989530392777002,8667722.15625
RAREUSDT,0.780581616214909,25.158193740155316,0.9013821161522494,1345.3464420182827,960.0,-16.591570402160723,17.37215201837563,25.037393240217977,5845638.67578125
NOTUSDT,26.710099146913738,1.2045891959041306,2.648480859501336,3952.956506718411,1680.0,-13.445579449417993,40.15567859633174,25.26620748331653,18115871.9375
NTRNUSDT,28.078543148152853,-0.024348407601537544,2.5551391441152043,3813.6405136047815,744.0,76.84848622939131,-48.76994308123851,25.49905559643611,4043639.9296875
GMTUSDT,25.928845678923835,11.80053432426998,12.096391791336623,18054.316106472575,9216.0,17.588109351049074,8.340736327874808,25.632988211857196,46325856.0
BNBUSDT,40.694118714816135,11.637271685648585,26.31345551449563,39273.81420073974,13116.0,20.588826490523328,20.10529222429285,26.01793488596909,454314245.5
BTCUSDT,56.25863100377,-4.001962301714172,25.495532142088784,38053.033047893696,14412.0,93.10672206429605,-36.84809106052611,26.761136559967042,13485836672.0
HEIUSDT,29.349461203328982,-0.5453393268038301,1.5506543086440259,2314.409415886606,408.0,18.351522323056027,10.997938880272983,27.253467567881124,3567348.4658203125
ZKJUSDT,35.82061063275801,-7.7268256589566775,0.8085143548644446,1206.7378430812605,396.0,0.0,35.82061063275801,27.285270618936888,2348011.5859375
ILVUSDT,28.50138368275485,-0.6542386582922113,0.4648965516414836,693.8754502111696,168.0,22.60622142839793,5.895162254356912,27.382248472821153,4636653.390625
SYRUPUSDT,29.079800765220398,0.44043505289651486,2.031633008822603,3032.288072869556,1572.0,12.012987146520851,17.06681361869957,27.48860280929431,10633332.875
KAIAUSDT,28.354414768607278,0.06797349001152202,0.6708798587576458,1001.3132220263369,576.0,27.808805475864546,0.5456092927427292,27.75150839986115,4211620.1015625
MEUSDT,28.993496071173197,-0.011086010211336468,0.8562024180978053,1277.914056862396,216.0,0.0,28.993496071173197,28.126207642864056,6420450.9296875
BANANAS31USDT,30.895620848468813,-1.6204883356320487,1.0818586908010428,1614.7144638821528,468.0,11.120559880856224,19.77506096761259,28.19327382203572,8372567.2734375
BRETTUSDT,30.059855658553367,-0.6126104065370865,1.0961131521798007,1635.9897793728362,276.0,25.192703285175597,4.86715237337775,28.35113209983648,10540050.79296875
ONDOUSDT,37.074154722271295,-1.3377915236094986,6.673647122100951,9960.667346419325,4632.0,20.64712065394727,16.4270340683237,29.062716076560847,102395091.4375
HFTUSDT,31.802765182324304,-1.0515349191896959,1.0131834625060716,1512.2141231433898,276.0,19.22756064865605,12.57520453366828,29.73804680062854,4657711.80078125
TRIAUSDT,30.128312636358924,0.15021796910506344,0.4934760623807724,736.5314363892124,252.0,34.392552202189655,-4.264239565830738,29.785054543083216,10218212.59375
RECALLUSDT,30.407922735350596,0.020940793953631787,0.524233712332689,782.4383766159536,132.0,-3.8477075271569867,34.25563026250757,29.90462981697154,1814407.23828125
YFIIUSDT,32.85670050860291,3.2821655062013884,6.033576804928074,9005.33851481802,2772.0,48.74993506774538,-15.893234559142426,30.105289209876226,24269604.25
LISTAUSDT,31.534300992264964,0.39052776233927783,1.519543969928173,2267.976074519661,732.0,2.3208983783962505,29.213402613868702,30.40528478467607,8301364.09375
HUSDT,46.76059027270027,-11.84862316553548,4.286952820189155,6398.437045058443,2652.0,45.47677779744397,1.2838124752562203,30.625014286975635,24986689.3203125
